Suburb,Sex,0-19,20-34,35-44,45-64,64-84,85 +
Brunswick,M,22,25,27,21,17,13
Toorak,M,13,7,7,13,20,17
Footscray,M,15,18,17,14,10,9
Brunswick,F,22,26,26,23,19,18
Toorak,F,13,7,8,16,23,27
Footscray,F,14,16,15,13,10,15
